Symbol,Date,Open,High,Low,Close,Volume
AADR,30-May-2018,57.33,57.75,57.25,57.63,23200
AAMC,30-May-2018,66.55,68.1,66.55,68.1,800
AAU,30-May-2018,0.72,0.73,0.705,0.714,101700
ACIM,30-May-2018,78.6,79,78.6,78.82,3500
ACSI,30-May-2018,31.27,31.55,31.27,31.55,400
ACU,30-May-2018,22.4,22.55,21.77,22,12400
ACWF,30-May-2018,31.03,31.24,30.915,31.201,24000
ACWV,30-May-2018,83.55,84.29,83.54,84.21,75000
ACY,30-May-2018,14.8,14.8,14.8,14.8,200
AE,30-May-2018,46.14,46.14,45.18,45.18,2400
AEF,30-May-2018,8.44,8.56,8.44,8.55,194600
AFK,30-May-2018,24.36,24.69,24.36,24.57,5900
AFTY,30-May-2018,16.55,16.6,16.46,16.6,7400
AGG,30-May-2018,106.54,106.67,106.4,106.55,3158100
AGGE,30-May-2018,18.74,18.74,18.68,18.69,1000
AGGP,30-May-2018,19.21,19.21,19.16,19.2,199800
AGGY,30-May-2018,48.81,48.86,48.75,48.83,35600
AGQ,30-May-2018,31.15,31.57,31.1,31.4,73000
AGT,30-May-2018,25.49,25.76,25.49,25.61,12300
AGZ,30-May-2018,111.57,111.7,111.48,111.65,25400
AIEQ,30-May-2018,27.49,27.73,27.49,27.67,97700
AINC,30-May-2018,78.6,79.43,78.32,78.65,7100
AIRI,30-May-2018,1.69,1.72,1.66,1.66,25100
AKG,30-May-2018,1.23,1.24,1.18,1.22,309800
ALD,30-May-2018,44.43,44.71,44.42,44.71,400
ALFA,30-May-2018,46.64,46.91,46.55,46.91,5900
ALFI,30-May-2018,25.8,25.8,25.8,25.8,0
ALN,30-May-2018,0.18,0.18,0.17,0.18,36200
ALO,30-May-2018,1.75,1.77,1.71,1.71,177800
ALTS,30-May-2018,37.59,37.59,37.59,37.59,100
AMJ,30-May-2018,26.53,26.74,26.27,26.71,3280800
AMJL,30-May-2018,17.52,18,17.52,18,4200
AMLP,30-May-2018,10.15,10.32,10.14,10.31,11076400
AMPE,30-May-2018,1.86,2.06,1.85,1.9,981100
AMS,30-May-2018,2.75,2.8,2.75,2.75,2000
AMU,30-May-2018,16.46,16.81,16.46,16.8,52500
AMZA,30-May-2018,7.46,7.59,7.43,7.57,735100
ANGL,30-May-2018,28.93,28.955,28.89,28.95,218500
AOA,30-May-2018,53.71,53.945,53.585,53.93,50800
AOK,30-May-2018,34.04,34.15,34.04,34.14,25500
AOM,30-May-2018,37.68,37.72,37.59,37.67,87700
AOR,30-May-2018,44.6,44.74,44.46,44.74,47700
APHB,30-May-2018,1.17,1.2,1.15,1.15,107800
APT,30-May-2018,3.55,3.55,3.45,3.45,42700
ARCM,30-May-2018,100.29,100.29,100.29,100.29,0
ARGT,30-May-2018,29.82,30.27,29.82,30.12,40700
ARKG,30-May-2018,28.91,29.37,28.91,29.295,68800
ARKK,30-May-2018,43.19,43.75,43.19,43.67,387500
ARKQ,30-May-2018,33.86,34.15,33.86,34.08,119700
ARKW,30-May-2018,53.18,53.62,53.18,53.54,164800
ASB.W,30-May-2018,8,8,8,8,100
ASEA,30-May-2018,16.76,16.76,16.69,16.73,5500
ASHR,30-May-2018,29.19,29.35,28.95,29.29,1021700
ASHS,30-May-2018,32.55,32.845,32.375,32.78,11100
ASHX,30-May-2018,21.01,21.01,21.01,21.01,100
ASM,30-May-2018,1.32,1.37,1.3,1.33,47000
AST,30-May-2018,1.6,1.6,1.55,1.55,60700
ATMP,30-May-2018,19.91,20.2,19.91,20.2,1820700
ATNM,30-May-2018,0.38,0.38,0.36,0.37,530200
AUG,30-May-2018,1.29,1.35,1.29,1.32,43700
AUMN,30-May-2018,0.39,0.41,0.39,0.39,66100
AUSE,30-May-2018,56.07,56.54,55.93,56.51,5500
AWX,30-May-2018,2.2,2.3,2.2,2.23,13100
AXJL,30-May-2018,68.9,68.9,68.9,68.9,300
AXJV,30-May-2018,36.52,36.77,36.51,36.77,800
AXU,30-May-2018,1.33,1.38,1.33,1.35,352600
BAB,30-May-2018,29.65,29.77,29.65,29.72,68400
BALB,30-May-2018,56.09,56.32,55.95,56.32,4300
BAR,30-May-2018,130.03,130.03,130.03,130.03,100
BBC,30-May-2018,33.935,34.15,33.65,33.747,27400
BBP,30-May-2018,43.29,43.29,43.29,43.29,400
BBRC,30-May-2018,17.86,17.96,17.84,17.84,1400
BCD,30-May-2018,27.16,27.28,27.16,27.22,5900
BCI,30-May-2018,25.19,25.35,25.18,25.35,39700
BCM,30-May-2018,31,31.05,30.99,31.05,1100
BCV,30-May-2018,21.7,21.84,21.7,21.7,5300
BCV-A,30-May-2018,24.85,24.928,24.85,24.905,1300
BDCL,30-May-2018,15.49,15.53,15.41,15.53,33000
BDCS,30-May-2018,20.29,20.33,20.21,20.28,6600
BDD,30-May-2018,9.57,9.9,9.35,9.83,9500
BDL,30-May-2018,25.95,26.87,25.6,25.6,2500
BDR,30-May-2018,1.25,1.28,1.18,1.25,70200
BDRY,30-May-2018,19.5,19.5,19.5,19.5,100
BEF,30-May-2018,28.47,28.47,28.435,28.435,600
BEMO,30-May-2018,34.105,34.32,34.105,34.32,6200
BERN,30-May-2018,28.17,28.17,28.1,28.1,200
BFOR,30-May-2018,43.08,43.61,43.08,43.56,8500
BFY,30-May-2018,13.03,13.04,12.97,12.99,8500
BGI,30-May-2018,1.3,1.56,1.23,1.46,213500
BGSF,30-May-2018,18.59,19.24,18.55,18.65,125100
BHB,30-May-2018,30.25,30.71,30,30.36,34700
BHV,30-May-2018,15.95,15.98,15.815,15.94,10800
BIBL,30-May-2018,26.845,27.096,26.845,27.03,3200
BIL,30-May-2018,91.55,91.56,91.55,91.55,450400
BIV,30-May-2018,81.26,81.315,81.06,81.14,494900
BIZD,30-May-2018,16.71,16.78,16.71,16.76,22300
BJK,30-May-2018,49.3,50,49.09,49.6,9500
BJO,30-May-2018,48.08,48.19,47.3,47.42,12700
BKC,30-May-2018,24.86,24.9,24.705,24.9,7700
BKF,30-May-2018,43.99,44.34,43.91,44.24,14500
BKJ,30-May-2018,17.5,17.9,17.25,17.5,25600
BKLN,30-May-2018,23.02,23.03,23,23.03,2597200
BLE,30-May-2018,14.33,14.34,14.15,14.18,46900
BLES,30-May-2018,28.45,28.72,28.45,28.65,2700
BLHY,30-May-2018,24.46,24.6,24.45,24.46,7700
BLJ,30-May-2018,13.9,13.9,13.75,13.8,2600
BLOK,30-May-2018,20.03,20.1,19.95,20.09,32900
BLV,30-May-2018,89.19,89.33,88.87,89.22,154600
BND,30-May-2018,79.39,79.55,79.32,79.44,3549700
BNO,30-May-2018,21.25,21.71,21.25,21.71,303300
BOIL,30-May-2018,28.41,28.75,28.32,28.6,65900
BOND,30-May-2018,103.4,103.517,103.295,103.34,156700
BOON,30-May-2018,26.5,26.94,26.46,26.94,1800
BOSS,30-May-2018,19.265,19.265,19.26,19.26,4500
BPMX,30-May-2018,0.25,0.253,0.24,0.245,5420400
BRF,30-May-2018,19.47,19.47,19.28,19.47,11700
BRG,30-May-2018,8.7,8.945,8.7,8.82,142800
