Symbol,Date,Open,High,Low,Close,Volume
ADDA,30-May-2018,50,79,-8,-6,0
ADDD,30-May-2018,1,4,-3,1,0
ADDE,30-May-2018,556,1083,556,1080,0
ADDN,30-May-2018,1144,1579,1144,1442,0
ADDQ,30-May-2018,1048,1337,800,800,0
ADDS,30-May-2018,238,356,91,356,0
ADDT,30-May-2018,2242,2941,2235,2236,0
ADDV,30-May-2018,44,52,-83,-34,0
ADDX,30-May-2018,282,341,68,322,0
ADRA,30-May-2018,2.13,2.31,0.92,0.94,0
ADRD,30-May-2018,1,3,0.25,1.25,0
ADRE,30-May-2018,2.79,3.96,2.79,3.95,0
ADRN,30-May-2018,4,8.22,4,6.15,0
ADRQ,30-May-2018,3.29,3.85,2,2,0
ADRS,30-May-2018,1.85,1.94,1.15,1.56,0
ADRT,30-May-2018,3.54,4.83,2.87,2.88,0
ADRV,30-May-2018,1.31,1.31,0.8,0.92,0
ADRX,30-May-2018,1.67,1.68,1.06,1.3,0
ADVA,30-May-2018,94,141,94,104,81385900
ADVD,30-May-2018,1,6,1,5,6400
ADVE,30-May-2018,865,1448,865,1446,1054310000
ADVN,30-May-2018,1525,1798,1525,1722,2986108000
ADVQ,30-May-2018,1505,1817,1505,1597,1267687000
ADVS,30-May-2018,518,983,518,983,215398400
ADVT,30-May-2018,3124,3730,3124,3423,4335181000
ADVV,30-May-2018,184,391,184,391,56175900
ADVX,30-May-2018,702,1374,702,1374,271574300
ASHD,30-May-2018,115,458,115,458,0
ASHF,30-May-2018,200,960,200,915,0
ASHR,30-May-2018,2.73,3.26,2.53,2.99,0
ASHU,30-May-2018,315,1394,315,1373,0
AVDA,30-May-2018,446.83,6372.93,446.83,6372.93,0
AVDD,30-May-2018,43.99,215.14,-461.4,-461.4,0
AVDE,30-May-2018,1199.05,80145.82,1199.05,80145.82,0
AVDQ,30-May-2018,3401.14,69223.82,3401.14,69030.06,0
AVDS,30-May-2018,491.52,15558.4,491.52,15558.38,0
AVDV,30-May-2018,27.2,178.83,-2919.91,-1149.15,0
AVDX,30-May-2018,518.72,14412.77,518.72,14409.23,0
AVLD,30-May-2018,2.28,182.49,2.28,180.55,0
AVLF,30-May-2018,4.11,797.06,4.11,797.06,0
AVLR,30-May-2018,2.79,5.41,1.95,5.41,0
AVLU,30-May-2018,6.39,977.61,6.39,977.61,0
AVRA,30-May-2018,5.87,6.66,3.97,4.6,0
AVRD,30-May-2018,150.82,207.86,0.01,207.86,0
AVRE,30-May-2018,1.84,4.16,1.63,4.16,0
AVRN,30-May-2018,2.69,9,2.69,7.08,0
AVRQ,30-May-2018,4.89,4.89,1.66,2.19,0
AVRS,30-May-2018,3,3.63,1.87,3.6,0
AVRT,30-May-2018,3.38,5.25,2.74,4.26,0
AVRV,30-May-2018,1.06,1.37,0.54,0.83,0
AVRX,30-May-2018,1.8,2.32,1.44,2.13,0
AVVA,30-May-2018,5.38,81.38,5.38,81.38,0
AVVD,30-May-2018,0.43,2.16,0.02,0.02,0
AVVE,30-May-2018,26.21,1054.3,26.21,1054.3,0
AVVN,30-May-2018,60.67,2986.1,60.67,2986.1,0
AVVQ,30-May-2018,42.74,1267.68,42.74,1267.68,0
AVVS,30-May-2018,7.36,215.39,7.36,215.39,0
AVVT,30-May-2018,108.8,4335.18,108.8,4335.18,0
AVVV,30-May-2018,4.28,56.17,4.28,56.17,0
AVVX,30-May-2018,11.64,271.57,11.64,271.57,0
BANK,30-May-2018,4237.53,4287.15,4234.86,4276.98,0
BCMA,30-May-2018,2811,3356,2811,3102,0
BCMC,30-May-2018,100.27,100.61,100.21,100.61,0
BCMD,30-May-2018,751,902,572,902,0
BCME,30-May-2018,286,344,266,344,0
BCMF,30-May-2018,144,241,144,202,0
BCMG,30-May-2018,43,57,30,35,0
BCMM,30-May-2018,100.54,101.41,100.54,101.11,0
BCMU,30-May-2018,218,218,84,140,0
BDMA,30-May-2018,1405,1529,1405,1527,0
BDMC,30-May-2018,100.03,100.03,99.94,99.95,0
BDMD,30-May-2018,2246,2455,2246,2455,0
BDME,30-May-2018,216,247,216,247,0
BDMF,30-May-2018,231,293,231,293,0
BDMG,30-May-2018,24,39,24,39,0
BDMM,30-May-2018,99.59,99.59,99.56,99.57,0
BDMU,30-May-2018,129,162,129,162,0
BFMA,30-May-2018,1386,1526,1386,1525,0
BFMC,30-May-2018,100.08,100.09,100.03,100.06,0
BFMD,30-May-2018,2290,2484,2290,2484,0
BFME,30-May-2018,236,286,236,286,0
BFMF,30-May-2018,216,259,216,259,0
BFMG,30-May-2018,19,33,19,33,0
BFMM,30-May-2018,99.51,99.55,99.51,99.55,0
BFMU,30-May-2018,104,136,104,135,0
BGMA,30-May-2018,2130,2315,2130,2314,0
BGMC,30-May-2018,100.06,100.08,100.04,100.04,0
BGMD,30-May-2018,1533,1674,1533,1674,0
BGME,30-May-2018,222,263,222,263,0
BGMF,30-May-2018,227,277,227,277,0
BGMG,30-May-2018,20,35,19,35,0
BGMM,30-May-2018,100.29,100.3,100.28,100.29,0
BGMU,30-May-2018,116,156,116,155,0
BKX,30-May-2018,105.42,106.93,105.33,106.59,0
BWH,30-May-2018,198.33,198.33,190.94,192.97,0
BXD,30-May-2018,326.1,327.9,325.59,327.58,0
BXM,30-May-2018,1397.88,1404.36,1397.48,1403.43,0
BXN,30-May-2018,622.61,624.01,622.08,623.73,0
BXR,30-May-2018,275.51,277.03,275.45,276.92,0
CEX,30-May-2018,604.37,610.4,604.37,609.08,0
CIV,30-May-2018,24.24,25.06,23.98,25.01,0
COMP,30-May-2018,7428.41,7473.81,7423.67,7462.45,0
CPR,30-May-2018,3.055,3.0765,3.01,3.069,161459
CYM,30-May-2018,21.95,22.24,21.95,22.21,0
DCFD,30-May-2018,41.53,67.69,40,63.07,0
DCFI,30-May-2018,56.92,63.07,55.38,63.07,0
DCOF,30-May-2018,47.69,56.92,47.69,53.84,0
DCOH,30-May-2018,49.23,56.92,47.69,55.38,0
DCSE,30-May-2018,30118.49,30320.88,29963.18,30103.27,0
DCTH,30-May-2018,52.3,58.46,50.76,58.46,0
DCTW,30-May-2018,60,73.84,58.46,72.3,0
DDA,30-May-2018,17.2,19.79,15.58,16.22,0
DDB,30-May-2018,15.62,15.78,13.53,14.88,0
DECA,30-May-2018,44,110,44,110,17656600
DECD,30-May-2018,1,4,1,4,4620400
DECE,30-May-2018,309,374,307,366,252851500
DECN,30-May-2018,381,381,217,280,421213400
DECQ,30-May-2018,457,799,438,797,577386400
DECS,30-May-2018,280,654,280,627,59814600
DECT,30-May-2018,882,1190,737,1187,1016256000
DECV,30-May-2018,140,429,140,425,67667400
