Symbol,Date,Open,High,Low,Close,Volume
A,30-May-2018,62.24,63.06,61.995,62.69,1731400
AA,30-May-2018,48.11,48.66,47.5,48.54,1681200
AAC,30-May-2018,11.06,11.23,10.75,10.93,111700
AAN,30-May-2018,41,41.62,41,41.15,538400
AAP,30-May-2018,124,128.66,123.52,128.53,1223800
AAT,30-May-2018,35.87,36.37,35.5,36.28,304100
AAV,30-May-2018,2.85,2.95,2.85,2.9,112700
AB,30-May-2018,28.1,28.55,28.06,28.4,220400
ABB,30-May-2018,22.8,23.185,22.79,23.11,2791800
ABBV,30-May-2018,101.86,103.16,100.83,103.01,31273300
ABC,30-May-2018,82.82,84.58,82.49,84.13,910800
ABEV,30-May-2018,5.21,5.32,5.18,5.26,29155800
ABG,30-May-2018,69.95,70.7,69.45,70.2,171100
ABM,30-May-2018,28.96,29.605,28.96,29.15,1436200
ABR,30-May-2018,9.56,9.59,9.5,9.53,517800
ABR-A,30-May-2018,25.65,25.65,25.65,25.65,500
ABR-C,30-May-2018,26.09,26.09,25.9,25.9,3500
ABT,30-May-2018,61.78,62.65,61.44,62.07,5954000
ABX,30-May-2018,13.37,13.475,13.285,13.38,5934800
AC,30-May-2018,38.55,39,38.4,38.7,16700
ACC,30-May-2018,38.86,40.27,38.74,40.27,1303200
ACCO,30-May-2018,13.1,13.4,13,13.2,386400
ACH,30-May-2018,12.67,12.79,12.66,12.77,52400
ACM,30-May-2018,32.89,33.63,32.83,33.45,1217800
ACN,30-May-2018,154.8,156.54,154.53,156.03,1578100
ACP,30-May-2018,13.86,13.86,13.79,13.85,68800
ACRE,30-May-2018,13.79,13.87,13.73,13.87,107200
ACV,30-May-2018,23.44,23.61,23.24,23.46,455000
ADC,30-May-2018,53.05,53.77,52.845,53.12,267300
ADM,30-May-2018,43.95,44.32,43.62,44.28,3108200
ADNT,30-May-2018,53.02,53.59,52.91,53.07,321100
ADS,30-May-2018,211.37,213.75,210.53,213.3,373500
ADSW,30-May-2018,23.43,23.69,23.4,23.55,305200
ADT,30-May-2018,7.52,7.69,7.47,7.67,2222300
ADX,30-May-2018,15.18,15.32,15.14,15.31,124500
AEB,30-May-2018,24.69,24.69,24.42,24.43,17400
AED,30-May-2018,26.04,26.13,26,26.05,22400
AEE,30-May-2018,58.56,59.51,58.56,59.39,1344100
AEG,30-May-2018,6.2,6.285,6.16,6.25,1738400
AEH,30-May-2018,26.01,26.11,26.01,26.07,32700
AEL,30-May-2018,35.32,36.08,35.31,35.72,875300
AEM,30-May-2018,44.96,45.8,44.94,45.35,753400
AEO,30-May-2018,22.64,22.77,22.37,22.61,9346800
AEP,30-May-2018,67.21,68.21,67.1,68,2947300
AER,30-May-2018,55.51,55.63,55.12,55.6,861000
AES,30-May-2018,12.43,12.71,12.35,12.67,7856200
